Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
06-NOV-2013,210,35,,11.0,45,150,3.0
07-NOV-2013,215,41,,4.0,61,143,6.0
08-NOV-2013,209,30,,9.0,44,153,
09-NOV-2013,199,38,,10.0,57,126,5.0
10-NOV-2013,217,29,,11.0,30,168,6.0
11-NOV-2013,209,31,,8.0,51,143,4.0
12-NOV-2013,204,35,,8.0,56,131,6.0
13-NOV-2013,214,40,,9.0,60,139,3.0
14-NOV-2013,218,29,,6.0,70,138,3.0
15-NOV-2013,195,27,,7.0,44,141,
16-NOV-2013,181,31,,5.0,42,131,3.0
17-NOV-2013,209,34,,6.0,49,154,
18-NOV-2013,210,43,,10.0,64,135,
19-NOV-2013,199,30,,10.0,60,125,4.0
20-NOV-2013,184,37,,10.0,45,124,4.0
21-NOV-2013,201,38,,6.0,40,147,7.0
22-NOV-2013,186,35,,7.0,49,126,3.0
23-NOV-2013,218,38,,4.0,49,161,3.0
24-NOV-2013,212,33,,5.0,53,150,4.0
25-NOV-2013,198,28,,6.0,34,155,
26-NOV-2013,188,30,,10.0,33,143,
27-NOV-2013,161,26,,,38,115,5.0
28-NOV-2013,182,26,,7.0,45,126,
29-NOV-2013,178,35,,9.0,50,117,
30-NOV-2013,190,26,,4.0,39,141,5.0
01-DEC-2013,201,27,,4.0,40,153,3.0
02-DEC-2013,194,34,,6.0,41,144,3.0
03-DEC-2013,182,33,,9.0,42,128,3.0
04-DEC-2013,169,24,,4.0,43,121,
05-DEC-2013,194,34,,11.0,50,131,
06-DEC-2013,191,26,,4.0,50,135,
07-DEC-2013,200,35,,4.0,44,149,
08-DEC-2013,233,27,,9.0,58,164,
09-DEC-2013,189,31,,4.0,40,138,5.0
10-DEC-2013,187,17,,3.0,54,124,6.0
11-DEC-2013,185,30,3.0,5.0,53,121,3.0
12-DEC-2013,196,28,,6.0,47,140,3.0
13-DEC-2013,179,24,,6.0,40,130,3.0
14-DEC-2013,199,27,,3.0,47,145,3.0
15-DEC-2013,221,20,,4.0,56,158,3.0
16-DEC-2013,198,38,,13.0,50,134,
17-DEC-2013,194,32,,5.0,44,143,
18-DEC-2013,151,31,,3.0,28,119,
19-DEC-2013,176,25,,8.0,50,112,4.0
20-DEC-2013,154,34,,7.0,35,111,
21-DEC-2013,184,35,,9.0,45,128,
22-DEC-2013,207,36,,14.0,44,148,
23-DEC-2013,185,24,,4.0,38,137,5.0
24-DEC-2013,167,26,,5.0,54,106,
25-DEC-2013,198,29,,7.0,56,130,4.0
26-DEC-2013,197,32,,3.0,35,155,
27-DEC-2013,173,26,,4.0,38,126,4.0
28-DEC-2013,193,24,,6.0,39,143,4.0
29-DEC-2013,174,23,,4.0,35,133,
30-DEC-2013,180,33,4.0,5.0,39,127,4.0
31-DEC-2013,163,26,,5.0,35,118,4.0
01-JAN-2014,173,22,,7.0,31,134,
02-JAN-2014,164,16,,,39,121,
03-JAN-2014,176,28,,5.0,55,113,3.0
04-JAN-2014,165,31,,3.0,51,107,3.0
05-JAN-2014,177,24,,6.0,37,133,
06-JAN-2014,141,27,,6.0,25,103,7.0
07-JAN-2014,160,24,,5.0,30,124,
08-JAN-2014,175,21,,8.0,39,122,6.0
09-JAN-2014,148,20,,4.0,33,105,4.0
10-JAN-2014,132,21,,8.0,29,93,
11-JAN-2014,164,28,,7.0,33,121,3.0
12-JAN-2014,214,28,,5.0,56,148,3.0
13-JAN-2014,163,32,,5.0,41,114,
14-JAN-2014,166,28,,8.0,44,110,3.0
15-JAN-2014,165,34,,9.0,35,118,
16-JAN-2014,158,29,,5.0,43,107,
17-JAN-2014,148,25,,6.0,34,104,3.0
18-JAN-2014,161,31,,8.0,37,115,
19-JAN-2014,192,27,4.0,4.0,36,147,
20-JAN-2014,161,27,,10.0,34,112,5.0
21-JAN-2014,165,26,,5.0,41,118,
22-JAN-2014,133,17,,10.0,28,89,5.0
23-JAN-2014,144,31,,11.0,35,95,3.0
24-JAN-2014,156,27,,4.0,32,119,
25-JAN-2014,169,19,,8.0,31,125,3.0
26-JAN-2014,171,21,,6.0,32,130,
27-JAN-2014,187,28,,6.0,41,138,
28-JAN-2014,167,32,,10.0,33,122,
29-JAN-2014,177,36,,8.0,48,116,4.0
30-JAN-2014,172,34,,7.0,49,115,
31-JAN-2014,169,33,,9.0,41,115,4.0
01-FEB-2014,172,22,,7.0,36,127,
02-FEB-2014,203,32,,4.0,38,160,
03-FEB-2014,140,26,,9.0,41,86,3.0
04-FEB-2014,148,32,,,32,113,
05-FEB-2014,186,24,,3.0,53,127,
06-FEB-2014,170,26,,6.0,50,114,
07-FEB-2014,145,21,,3.0,27,108,6.0
08-FEB-2014,189,36,,11.0,51,126,
09-FEB-2014,212,34,,,50,159,
10-FEB-2014,174,31,,6.0,43,122,3.0
11-FEB-2014,192,34,,11.0,39,138,
12-FEB-2014,182,35,3.0,5.0,37,135,
13-FEB-2014,149,27,,4.0,30,110,4.0
14-FEB-2014,189,24,4.0,9.0,47,128,
15-FEB-2014,187,21,,4.0,42,138,3.0
16-FEB-2014,223,33,,10.0,56,152,5.0
17-FEB-2014,195,47,,8.0,55,130,
18-FEB-2014,190,36,,10.0,51,126,3.0
19-FEB-2014,174,37,,5.0,37,129,3.0
20-FEB-2014,165,29,,3.0,38,123,
21-FEB-2014,186,28,,4.0,51,128,
22-FEB-2014,199,42,,11.0,55,128,5.0
23-FEB-2014,225,45,,8.0,64,150,
24-FEB-2014,216,47,,10.0,50,152,3.0
25-FEB-2014,187,41,,7.0,51,125,
26-FEB-2014,181,33,,5.0,48,127,
27-FEB-2014,199,29,,6.0,57,134,
28-FEB-2014,170,30,4.0,7.0,42,114,3.0
01-MAR-2014,176,30,,9.0,49,115,
02-MAR-2014,186,34,3.0,12.0,53,117,
03-MAR-2014,232,37,,7.0,57,162,4.0
04-MAR-2014,207,35,,6.0,67,132,
05-MAR-2014,184,38,,6.0,53,122,3.0
06-MAR-2014,165,30,,5.0,44,114,
07-MAR-2014,180,30,,9.0,51,118,
08-MAR-2014,175,29,,4.0,31,134,5.0
09-MAR-2014,182,30,,6.0,39,136,
10-MAR-2014,185,27,,8.0,44,131,
11-MAR-2014,189,38,,7.0,61,118,3.0
12-MAR-2014,210,43,,6.0,53,147,4.0
13-MAR-2014,176,35,,12.0,42,121,
14-MAR-2014,167,32,,12.0,42,108,5.0
15-MAR-2014,196,35,,6.0,47,138,4.0
16-MAR-2014,184,33,,5.0,37,137,4.0
17-MAR-2014,189,33,,14.0,52,118,5.0
18-MAR-2014,192,34,,7.0,50,134,
19-MAR-2014,180,39,,9.0,47,120,
20-MAR-2014,192,26,,7.0,42,140,3.0
21-MAR-2014,166,22,,7.0,44,113,
22-MAR-2014,185,34,,5.0,45,134,
23-MAR-2014,214,30,,10.0,47,154,3.0
24-MAR-2014,208,39,,11.0,54,137,5.0
25-MAR-2014,176,40,,11.0,51,111,
26-MAR-2014,188,38,,9.0,39,137,
27-MAR-2014,181,36,,9.0,48,123,
28-MAR-2014,186,30,,6.0,30,149,
29-MAR-2014,183,31,,6.0,46,131,
30-MAR-2014,196,31,,11.0,38,145,
31-MAR-2014,207,40,,5.0,43,154,3.0
01-APR-2014,168,26,,6.0,45,112,4.0
02-APR-2014,195,36,,8.0,47,139,
03-APR-2014,215,35,,6.0,61,145,
04-APR-2014,181,23,,5.0,42,130,4.0
05-APR-2014,213,34,,10.0,55,144,4.0
06-APR-2014,208,39,,8.0,53,145,
07-APR-2014,196,30,,7.0,39,147,
08-APR-2014,168,27,,6.0,43,110,8.0
09-APR-2014,184,41,,8.0,49,123,4.0
10-APR-2014,198,30,,3.0,46,146,
11-APR-2014,203,35,4.0,13.0,49,134,3.0
12-APR-2014,205,35,,6.0,49,147,
13-APR-2014,206,28,,15.0,49,138,3.0
14-APR-2014,203,33,,5.0,59,135,4.0
15-APR-2014,195,39,,9.0,48,133,4.0
16-APR-2014,164,23,,6.0,40,115,
17-APR-2014,167,35,,8.0,40,113,6.0
18-APR-2014,192,31,,3.0,47,140,
19-APR-2014,212,30,,7.0,49,156,
20-APR-2014,180,46,,,34,141,3.0
21-APR-2014,202,45,3.0,8.0,41,145,5.0
22-APR-2014,153,32,,4.0,42,103,4.0
23-APR-2014,169,36,,3.0,47,116,
24-APR-2014,174,36,,10.0,49,112,3.0
25-APR-2014,183,32,,5.0,32,146,
26-APR-2014,163,33,,4.0,40,118,
27-APR-2014,185,31,,11.0,33,138,
28-APR-2014,193,43,,9.0,56,124,4.0
29-APR-2014,161,36,,8.0,39,113,
30-APR-2014,181,34,,4.0,56,112,7.0
01-MAY-2014,183,36,,6.0,40,136,
02-MAY-2014,164,28,,4.0,41,117,
03-MAY-2014,201,29,,7.0,51,139,4.0
04-MAY-2014,195,35,,11.0,63,117,4.0
05-MAY-2014,200,36,,10.0,42,144,3.0
06-MAY-2014,203,42,,11.0,54,130,7.0
07-MAY-2014,185,33,,8.0,48,127,
08-MAY-2014,188,35,,5.0,47,131,5.0
09-MAY-2014,203,40,,13.0,59,127,
10-MAY-2014,187,27,,8.0,44,133,
11-MAY-2014,204,37,,8.0,56,134,6.0
12-MAY-2014,206,48,,10.0,56,137,
13-MAY-2014,187,31,,14.0,56,113,3.0
14-MAY-2014,219,38,,11.0,53,150,4.0
15-MAY-2014,167,34,,6.0,57,101,
16-MAY-2014,196,37,,12.0,57,120,7.0
17-MAY-2014,203,28,,5.0,43,151,3.0
18-MAY-2014,254,41,,9.0,55,184,5.0
19-MAY-2014,232,45,,7.0,71,148,5.0
20-MAY-2014,187,36,,16.0,52,116,3.0
21-MAY-2014,197,41,,12.0,54,126,4.0
22-MAY-2014,196,47,,12.0,50,131,3.0
23-MAY-2014,182,36,,9.0,44,127,
24-MAY-2014,215,40,,8.0,60,143,3.0
25-MAY-2014,220,32,,6.0,53,159,
26-MAY-2014,200,39,3.0,7.0,48,138,4.0
27-MAY-2014,179,34,,11.0,63,103,
28-MAY-2014,209,39,,13.0,56,138,
29-MAY-2014,197,45,,11.0,59,120,7.0
30-MAY-2014,177,32,,6.0,41,128,
31-MAY-2014,214,24,,6.0,51,156,
01-JUN-2014,232,33,,4.0,59,164,5.0
02-JUN-2014,280,45,,14.0,80,182,4.0
03-JUN-2014,224,42,,8.0,62,150,4.0
04-JUN-2014,190,39,,8.0,49,131,
05-JUN-2014,211,41,,8.0,48,153,
06-JUN-2014,183,40,,9.0,55,118,
07-JUN-2014,204,33,3.0,4.0,53,141,3.0
08-JUN-2014,261,28,,4.0,41,211,5.0
09-JUN-2014,224,43,3.0,12.0,57,147,5.0
10-JUN-2014,218,44,,11.0,65,139,3.0
11-JUN-2014,189,36,,16.0,56,116,
12-JUN-2014,217,30,,4.0,48,163,
13-JUN-2014,199,31,,10.0,53,134,
14-JUN-2014,222,27,,5.0,46,168,
15-JUN-2014,235,49,,6.0,51,173,4.0
16-JUN-2014,222,49,,5.0,54,156,7.0
17-JUN-2014,160,29,,12.0,47,97,4.0
18-JUN-2014,213,39,,12.0,55,142,
19-JUN-2014,200,44,,11.0,70,118,
20-JUN-2014,212,32,,6.0,58,142,4.0
21-JUN-2014,192,31,,8.0,52,126,6.0
22-JUN-2014,252,41,,6.0,61,182,3.0
23-JUN-2014,222,43,,7.0,48,162,4.0
24-JUN-2014,200,30,,6.0,43,149,
25-JUN-2014,231,46,,8.0,70,150,3.0
26-JUN-2014,211,39,,9.0,67,131,4.0
27-JUN-2014,204,27,,9.0,53,140,
28-JUN-2014,244,37,,11.0,56,172,4.0
29-JUN-2014,242,42,,16.0,45,170,10.0
30-JUN-2014,242,40,,7.0,71,162,
