Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
04-NOV-2013,213,138,4.0,55,110,42,
05-NOV-2013,197,126,7.0,45,81,59,5.0
06-NOV-2013,172,111,,45,69,51,5.0
07-NOV-2013,195,135,6.0,61,80,41,7.0
08-NOV-2013,162,103,3.0,30,81,41,7.0
09-NOV-2013,168,114,5.0,36,83,39,5.0
10-NOV-2013,162,101,,29,79,50,3.0
11-NOV-2013,195,123,,40,104,43,6.0
12-NOV-2013,176,113,,45,70,54,5.0
13-NOV-2013,179,113,,38,71,64,5.0
14-NOV-2013,162,106,4.0,33,83,40,
15-NOV-2013,200,118,7.0,45,89,56,3.0
16-NOV-2013,180,107,,40,88,41,9.0
17-NOV-2013,190,117,,34,93,59,4.0
18-NOV-2013,207,122,4.0,45,100,55,3.0
19-NOV-2013,191,125,4.0,47,89,42,9.0
20-NOV-2013,158,99,3.0,32,64,57,
21-NOV-2013,185,114,3.0,41,80,56,5.0
22-NOV-2013,193,129,4.0,40,94,49,6.0
23-NOV-2013,186,118,6.0,36,78,60,6.0
24-NOV-2013,173,107,4.0,32,79,56,
25-NOV-2013,198,102,,29,95,70,3.0
26-NOV-2013,195,140,4.0,56,99,36,
27-NOV-2013,199,133,4.0,57,85,50,3.0
28-NOV-2013,195,136,,39,94,56,4.0
29-NOV-2013,171,107,,41,65,58,5.0
30-NOV-2013,186,111,,35,90,55,4.0
01-DEC-2013,209,136,4.0,42,96,64,3.0
02-DEC-2013,187,116,,39,92,49,5.0
03-DEC-2013,163,109,,45,79,37,
04-DEC-2013,154,99,,44,70,38,
05-DEC-2013,162,110,3.0,50,55,52,
06-DEC-2013,162,114,,41,88,27,4.0
07-DEC-2013,174,112,,43,73,48,10.0
08-DEC-2013,178,99,,31,81,63,3.0
09-DEC-2013,202,138,,36,103,57,5.0
10-DEC-2013,182,118,,52,80,42,6.0
11-DEC-2013,167,110,,34,77,51,4.0
12-DEC-2013,180,127,,46,94,31,7.0
13-DEC-2013,168,112,,40,77,48,
14-DEC-2013,170,110,5.0,23,111,30,
15-DEC-2013,168,104,3.0,34,92,37,
16-DEC-2013,207,147,6.0,59,108,31,3.0
17-DEC-2013,191,128,3.0,45,93,45,5.0
18-DEC-2013,158,106,,35,72,47,3.0
19-DEC-2013,169,106,,28,75,59,5.0
20-DEC-2013,175,101,5.0,33,92,38,7.0
21-DEC-2013,185,119,,34,93,54,4.0
22-DEC-2013,189,122,7.0,46,85,46,5.0
23-DEC-2013,215,134,,37,96,76,4.0
24-DEC-2013,169,105,3.0,34,66,61,5.0
25-DEC-2013,151,97,,34,73,40,
26-DEC-2013,202,132,3.0,40,108,45,6.0
27-DEC-2013,227,141,,52,106,53,14.0
28-DEC-2013,186,110,4.0,33,102,45,
29-DEC-2013,173,113,,33,84,50,4.0
30-DEC-2013,225,138,3.0,44,125,48,5.0
31-DEC-2013,190,125,6.0,40,104,38,
01-JAN-2014,194,118,,37,91,58,7.0
02-JAN-2014,189,134,,36,96,44,12.0
03-JAN-2014,185,116,,41,85,46,11.0
04-JAN-2014,167,106,,37,75,46,7.0
05-JAN-2014,162,106,,35,67,57,
06-JAN-2014,207,122,3.0,55,92,49,8.0
07-JAN-2014,206,150,,38,112,51,5.0
08-JAN-2014,169,94,,46,76,42,5.0
09-JAN-2014,183,120,6.0,57,80,36,4.0
10-JAN-2014,164,111,,32,93,37,
11-JAN-2014,164,107,,35,76,45,6.0
12-JAN-2014,179,117,5.0,54,84,30,6.0
13-JAN-2014,180,121,,40,74,62,3.0
14-JAN-2014,204,138,,47,122,25,9.0
15-JAN-2014,168,104,,45,67,49,7.0
16-JAN-2014,184,107,,43,80,53,7.0
17-JAN-2014,184,123,,40,99,38,5.0
18-JAN-2014,195,122,4.0,39,76,67,9.0
19-JAN-2014,184,117,,40,85,56,
20-JAN-2014,185,120,3.0,32,77,68,5.0
21-JAN-2014,178,129,3.0,49,86,32,8.0
22-JAN-2014,183,122,6.0,42,92,38,5.0
23-JAN-2014,177,104,4.0,45,93,29,6.0
24-JAN-2014,179,113,3.0,40,95,38,3.0
25-JAN-2014,195,112,5.0,52,90,45,3.0
26-JAN-2014,212,129,,50,98,56,6.0
27-JAN-2014,237,129,,40,102,78,16.0
28-JAN-2014,217,140,4.0,42,106,58,7.0
29-JAN-2014,201,137,6.0,44,105,43,3.0
30-JAN-2014,177,119,,39,83,47,8.0
31-JAN-2014,181,132,3.0,43,81,52,
01-FEB-2014,169,114,,46,85,35,
02-FEB-2014,196,131,4.0,38,98,53,3.0
03-FEB-2014,193,112,,46,70,61,14.0
04-FEB-2014,185,115,4.0,50,72,50,9.0
05-FEB-2014,185,109,,55,90,34,5.0
06-FEB-2014,187,118,,53,89,41,3.0
07-FEB-2014,178,110,,34,80,52,10.0
08-FEB-2014,184,118,,40,88,46,8.0
09-FEB-2014,205,131,6.0,51,106,39,3.0
10-FEB-2014,186,123,4.0,31,78,68,5.0
11-FEB-2014,178,118,3.0,34,80,54,7.0
12-FEB-2014,187,129,3.0,38,109,36,
13-FEB-2014,172,104,3.0,37,81,45,6.0
14-FEB-2014,192,115,3.0,55,79,53,
15-FEB-2014,158,65,5.0,34,73,37,9.0
16-FEB-2014,184,94,,49,84,50,
17-FEB-2014,185,114,,49,82,46,7.0
18-FEB-2014,173,104,,42,88,40,
19-FEB-2014,176,108,3.0,45,70,51,7.0
20-FEB-2014,189,122,,45,89,51,
21-FEB-2014,176,108,,35,95,42,4.0
22-FEB-2014,179,95,,43,75,53,6.0
23-FEB-2014,195,97,3.0,51,95,41,5.0
24-FEB-2014,214,105,3.0,60,79,65,7.0
25-FEB-2014,203,126,,47,96,55,4.0
26-FEB-2014,185,103,,48,91,42,
27-FEB-2014,178,93,,52,83,39,4.0
28-FEB-2014,214,110,5.0,39,111,54,5.0
01-MAR-2014,179,86,6.0,31,87,52,3.0
02-MAR-2014,199,99,4.0,47,79,60,9.0
03-MAR-2014,212,97,,55,90,63,
04-MAR-2014,194,114,,57,83,51,3.0
05-MAR-2014,183,100,3.0,56,72,47,5.0
06-MAR-2014,201,109,3.0,47,93,51,7.0
07-MAR-2014,191,106,4.0,36,114,32,5.0
08-MAR-2014,174,78,3.0,43,73,51,4.0
09-MAR-2014,203,92,,39,93,67,3.0
10-MAR-2014,202,94,9.0,41,87,61,4.0
11-MAR-2014,193,113,3.0,38,85,65,
12-MAR-2014,180,84,,50,79,46,4.0
13-MAR-2014,165,107,,40,78,38,7.0
14-MAR-2014,175,88,,50,74,42,9.0
15-MAR-2014,177,79,,31,79,60,5.0
16-MAR-2014,179,76,3.0,56,74,42,4.0
17-MAR-2014,184,90,,41,97,43,
18-MAR-2014,193,115,,59,100,29,4.0
19-MAR-2014,189,97,,46,93,40,8.0
20-MAR-2014,191,100,4.0,53,85,48,
21-MAR-2014,186,95,,48,84,48,4.0
22-MAR-2014,181,91,,35,83,59,3.0
23-MAR-2014,191,80,,37,79,73,
24-MAR-2014,222,110,4.0,51,107,57,3.0
25-MAR-2014,176,95,,44,79,44,8.0
26-MAR-2014,179,99,5.0,38,86,50,
27-MAR-2014,179,106,,43,85,49,
28-MAR-2014,168,96,,34,89,37,8.0
29-MAR-2014,174,72,,39,82,49,
30-MAR-2014,186,85,3.0,41,95,45,
31-MAR-2014,190,98,,48,102,38,
01-APR-2014,169,98,3.0,35,93,36,
02-APR-2014,162,95,5.0,41,79,37,
03-APR-2014,166,103,,41,80,41,
04-APR-2014,175,82,,43,87,41,3.0
05-APR-2014,157,79,3.0,34,72,43,5.0
06-APR-2014,170,94,,42,71,53,
07-APR-2014,177,100,,40,66,68,
08-APR-2014,164,104,,47,73,38,4.0
09-APR-2014,182,102,,42,86,50,
10-APR-2014,206,105,5.0,41,82,73,5.0
11-APR-2014,186,98,,41,83,54,7.0
12-APR-2014,184,90,3.0,40,86,53,
13-APR-2014,216,99,4.0,45,94,67,6.0
14-APR-2014,200,96,,51,98,50,
15-APR-2014,196,95,,55,90,46,3.0
16-APR-2014,183,101,,44,80,52,5.0
17-APR-2014,180,87,,41,72,48,18.0
18-APR-2014,172,92,,39,67,56,8.0
19-APR-2014,149,69,4.0,32,64,42,7.0
20-APR-2014,173,89,,32,103,34,
21-APR-2014,176,104,3.0,40,82,46,5.0
22-APR-2014,204,106,,48,105,43,7.0
23-APR-2014,171,84,3.0,38,74,54,
24-APR-2014,167,89,,34,84,40,9.0
25-APR-2014,174,75,,47,87,39,
26-APR-2014,192,76,,36,85,67,
27-APR-2014,179,76,3.0,34,93,45,4.0
28-APR-2014,184,94,,47,74,59,
