Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
02-NOV-2013,147,16.0,,16,67,57,6.0
03-NOV-2013,150,17.0,,17,49,77,6.0
04-NOV-2013,171,9.0,,17,61,89,4.0
05-NOV-2013,153,18.0,,27,65,59,
06-NOV-2013,133,20.0,,20,44,63,4.0
07-NOV-2013,137,25.0,,20,52,61,4.0
08-NOV-2013,144,19.0,,14,58,59,13.0
09-NOV-2013,127,13.0,,17,43,54,13.0
10-NOV-2013,168,15.0,,15,62,86,5.0
11-NOV-2013,141,11.0,,12,44,81,4.0
12-NOV-2013,158,20.0,,24,67,64,3.0
13-NOV-2013,146,7.0,,16,55,69,6.0
14-NOV-2013,136,10.0,,14,37,81,4.0
15-NOV-2013,152,14.0,,20,49,79,4.0
16-NOV-2013,149,23.0,,18,51,77,
17-NOV-2013,145,17.0,,16,50,76,3.0
18-NOV-2013,155,19.0,,19,71,64,
19-NOV-2013,160,15.0,,10,47,91,11.0
20-NOV-2013,139,21.0,,16,46,71,6.0
21-NOV-2013,138,21.0,,13,61,60,3.0
22-NOV-2013,136,15.0,3.0,16,44,71,
23-NOV-2013,138,8.0,,23,47,65,
24-NOV-2013,154,17.0,,23,53,73,4.0
25-NOV-2013,158,12.0,,23,51,75,9.0
26-NOV-2013,131,14.0,3.0,13,32,74,9.0
27-NOV-2013,150,13.0,,14,41,88,6.0
28-NOV-2013,161,11.0,,20,60,74,6.0
29-NOV-2013,136,16.0,,26,36,63,11.0
30-NOV-2013,145,14.0,,14,35,92,3.0
01-DEC-2013,164,19.0,,21,52,84,6.0
02-DEC-2013,166,14.0,,15,53,88,10.0
03-DEC-2013,144,18.0,,10,50,70,14.0
04-DEC-2013,147,17.0,,21,36,87,
05-DEC-2013,131,17.0,,9,49,70,
06-DEC-2013,142,17.0,,20,49,68,4.0
07-DEC-2013,147,15.0,,18,42,80,6.0
08-DEC-2013,167,15.0,,14,53,79,21.0
09-DEC-2013,174,14.0,,18,75,71,10.0
10-DEC-2013,154,17.0,,18,44,81,10.0
11-DEC-2013,156,25.0,,29,58,66,3.0
12-DEC-2013,141,10.0,,15,45,77,3.0
13-DEC-2013,151,12.0,,15,50,66,20.0
14-DEC-2013,140,12.0,,23,33,76,8.0
15-DEC-2013,177,11.0,,16,63,94,4.0
16-DEC-2013,154,19.0,,14,51,78,11.0
17-DEC-2013,147,21.0,,20,43,79,5.0
18-DEC-2013,140,13.0,,8,54,71,6.0
19-DEC-2013,141,14.0,,23,44,64,9.0
20-DEC-2013,129,17.0,,22,33,66,7.0
21-DEC-2013,157,10.0,,21,51,65,20.0
