Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
29-OCT-2013,220,85,3.0,32,82,28,20.0
30-OCT-2013,222,96,4.0,32,91,13,18.0
31-OCT-2013,237,100,7.0,34,87,23,28.0
01-NOV-2013,234,104,3.0,42,108,13,28.0
02-NOV-2013,237,81,8.0,41,78,11,9.0
03-NOV-2013,248,97,3.0,35,104,15,7.0
04-NOV-2013,256,117,4.0,30,77,22,31.0
05-NOV-2013,224,94,,28,93,18,22.0
06-NOV-2013,236,125,5.0,39,78,29,18.0
07-NOV-2013,220,99,,39,81,22,17.0
08-NOV-2013,244,91,3.0,36,105,23,20.0
09-NOV-2013,246,94,3.0,56,86,24,8.0
10-NOV-2013,219,94,6.0,32,87,14,5.0
11-NOV-2013,256,113,7.0,48,87,22,21.0
12-NOV-2013,240,107,9.0,42,71,25,13.0
13-NOV-2013,222,123,5.0,48,76,24,17.0
14-NOV-2013,225,93,6.0,23,74,24,17.0
15-NOV-2013,225,110,3.0,29,78,21,28.0
16-NOV-2013,245,109,8.0,27,70,7,7.0
17-NOV-2013,275,113,5.0,43,97,17,8.0
18-NOV-2013,255,107,3.0,43,84,13,26.0
19-NOV-2013,224,88,3.0,47,75,24,14.0
20-NOV-2013,236,98,3.0,33,87,21,18.0
21-NOV-2013,226,106,3.0,33,98,19,9.0
22-NOV-2013,228,106,5.0,31,75,29,21.0
23-NOV-2013,237,95,5.0,34,90,24,7.0
24-NOV-2013,242,98,3.0,30,98,19,3.0
25-NOV-2013,244,90,4.0,40,74,23,11.0
26-NOV-2013,248,112,3.0,45,83,30,9.0
27-NOV-2013,231,100,6.0,30,65,16,14.0
28-NOV-2013,234,110,,46,77,24,16.0
29-NOV-2013,203,98,5.0,34,77,32,10.0
30-NOV-2013,226,78,7.0,29,66,17,6.0
01-DEC-2013,254,100,3.0,37,97,19,5.0
02-DEC-2013,227,91,7.0,36,93,23,12.0
03-DEC-2013,225,98,3.0,34,93,20,17.0
04-DEC-2013,204,80,5.0,32,67,25,10.0
05-DEC-2013,231,110,5.0,37,80,22,15.0
06-DEC-2013,228,86,6.0,31,79,21,17.0
07-DEC-2013,219,74,,30,68,19,6.0
08-DEC-2013,229,82,12.0,26,88,18,5.0
09-DEC-2013,239,105,4.0,35,81,33,
10-DEC-2013,243,87,,30,87,27,12.0
11-DEC-2013,209,89,7.0,39,76,22,16.0
12-DEC-2013,219,91,,33,72,33,12.0
13-DEC-2013,230,107,3.0,32,103,23,14.0
14-DEC-2013,233,87,10.0,25,75,24,10.0
15-DEC-2013,249,75,,30,95,15,10.0
16-DEC-2013,264,105,5.0,32,93,19,16.0
17-DEC-2013,254,87,,34,79,17,14.0
18-DEC-2013,213,95,3.0,40,59,15,19.0
19-DEC-2013,202,102,4.0,26,66,22,22.0
20-DEC-2013,228,106,3.0,34,84,25,12.0
21-DEC-2013,236,92,4.0,29,81,18,8.0
22-DEC-2013,218,107,6.0,27,61,11,8.0
23-DEC-2013,229,97,3.0,23,71,22,17.0
24-DEC-2013,204,78,,24,79,20,21.0
25-DEC-2013,192,71,5.0,29,62,16,5.0
26-DEC-2013,222,98,4.0,36,65,19,10.0
27-DEC-2013,269,111,3.0,42,86,20,18.0
28-DEC-2013,212,85,4.0,24,70,16,4.0
29-DEC-2013,253,112,,40,92,17,12.0
30-DEC-2013,243,102,3.0,38,106,32,19.0
31-DEC-2013,248,109,7.0,39,86,24,15.0
01-JAN-2014,222,84,10.0,25,53,19,9.0
02-JAN-2014,245,107,,28,76,25,22.0
03-JAN-2014,221,87,3.0,23,59,28,26.0
04-JAN-2014,210,78,4.0,38,65,20,15.0
05-JAN-2014,230,100,3.0,23,84,19,7.0
06-JAN-2014,245,115,,36,97,22,23.0
07-JAN-2014,240,120,5.0,25,85,19,18.0
08-JAN-2014,202,79,3.0,26,80,32,6.0
09-JAN-2014,221,77,,28,76,20,17.0
10-JAN-2014,227,111,3.0,35,79,29,23.0
11-JAN-2014,207,74,4.0,20,83,17,8.0
12-JAN-2014,225,109,5.0,26,78,9,11.0
13-JAN-2014,227,109,4.0,45,83,16,22.0
14-JAN-2014,220,102,,32,75,21,19.0
15-JAN-2014,234,89,,34,72,32,15.0
16-JAN-2014,233,78,,33,95,24,19.0
17-JAN-2014,240,113,3.0,46,99,24,20.0
18-JAN-2014,251,114,6.0,34,93,21,5.0
19-JAN-2014,229,80,3.0,36,71,18,10.0
20-JAN-2014,221,98,,32,80,34,19.0
21-JAN-2014,221,84,5.0,27,75,11,24.0
22-JAN-2014,231,76,7.0,35,69,25,10.0
23-JAN-2014,216,90,3.0,40,64,23,14.0
24-JAN-2014,226,96,6.0,26,79,19,22.0
25-JAN-2014,267,94,4.0,40,73,19,10.0
26-JAN-2014,265,106,3.0,36,86,13,11.0
27-JAN-2014,257,101,,37,77,18,6.0
28-JAN-2014,247,99,6.0,29,89,28,23.0
29-JAN-2014,233,105,4.0,34,91,25,10.0
30-JAN-2014,222,93,4.0,46,78,22,9.0
31-JAN-2014,241,102,6.0,43,80,24,23.0
01-FEB-2014,235,106,,38,83,25,5.0
02-FEB-2014,249,93,3.0,30,88,25,8.0
03-FEB-2014,227,96,4.0,31,81,29,21.0
04-FEB-2014,239,105,7.0,40,83,27,21.0
05-FEB-2014,233,107,10.0,45,64,23,10.0
06-FEB-2014,242,100,4.0,35,88,18,19.0
07-FEB-2014,238,87,,36,79,27,16.0
08-FEB-2014,231,110,7.0,28,82,25,6.0
09-FEB-2014,237,102,6.0,35,76,20,6.0
10-FEB-2014,244,107,4.0,39,64,21,19.0
11-FEB-2014,240,121,4.0,36,68,21,24.0
12-FEB-2014,230,95,,35,92,13,15.0
13-FEB-2014,233,113,9.0,26,80,23,14.0
14-FEB-2014,226,85,3.0,41,77,14,21.0
15-FEB-2014,247,96,4.0,43,102,24,10.0
16-FEB-2014,265,114,5.0,47,100,21,5.0
17-FEB-2014,227,117,4.0,35,98,23,24.0
18-FEB-2014,250,108,,37,94,21,30.0
19-FEB-2014,242,105,,45,86,21,17.0
20-FEB-2014,218,88,5.0,37,88,24,15.0
21-FEB-2014,224,85,3.0,33,78,20,14.0
22-FEB-2014,225,91,3.0,31,79,16,6.0
23-FEB-2014,228,83,5.0,36,82,18,4.0
24-FEB-2014,263,122,5.0,44,95,15,14.0
25-FEB-2014,227,114,7.0,35,76,21,17.0
26-FEB-2014,222,37,,32,96,19,15.0
27-FEB-2014,239,92,5.0,44,86,21,17.0
28-FEB-2014,237,103,5.0,49,84,22,21.0
01-MAR-2014,247,94,6.0,36,73,22,6.0
02-MAR-2014,262,95,4.0,26,91,17,9.0
03-MAR-2014,261,114,5.0,54,86,13,3.0
04-MAR-2014,243,124,3.0,49,79,32,17.0
05-MAR-2014,249,117,,42,101,25,20.0
06-MAR-2014,265,131,,57,84,23,15.0
07-MAR-2014,234,96,9.0,29,65,16,20.0
08-MAR-2014,222,87,5.0,41,80,15,9.0
09-MAR-2014,230,94,6.0,41,72,15,6.0
10-MAR-2014,259,88,,54,84,13,18.0
11-MAR-2014,234,90,3.0,36,69,15,15.0
12-MAR-2014,227,86,5.0,36,70,13,24.0
13-MAR-2014,233,78,3.0,27,87,29,14.0
14-MAR-2014,230,89,,35,99,23,17.0
