Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
16-NOV-2013,184,59,,25,73,77,9
17-NOV-2013,187,72,,32,65,69,21
18-NOV-2013,168,71,,28,70,56,13
19-NOV-2013,158,70,,25,64,58,11
20-NOV-2013,160,64,,20,48,60,31
21-NOV-2013,146,64,,19,49,59,18
22-NOV-2013,160,71,3.0,34,54,51,18
23-NOV-2013,166,63,,24,58,65,18
24-NOV-2013,181,65,3.0,32,59,75,12
25-NOV-2013,156,62,,20,63,50,21
26-NOV-2013,159,73,,32,52,57,16
27-NOV-2013,153,68,,23,56,49,25
28-NOV-2013,165,66,,31,61,59,12
29-NOV-2013,151,73,,25,56,54,15
30-NOV-2013,153,49,,27,50,64,11
01-DEC-2013,185,55,,22,61,80,22
02-DEC-2013,157,58,,21,59,53,23
03-DEC-2013,149,67,,30,53,53,12
04-DEC-2013,163,77,,28,64,52,17
05-DEC-2013,162,63,,30,55,71,6
06-DEC-2013,162,62,,33,64,52,12
07-DEC-2013,174,63,,25,54,73,20
08-DEC-2013,162,66,,25,45,71,21
09-DEC-2013,172,77,3.0,38,53,60,18
10-DEC-2013,182,71,,27,69,54,30
11-DEC-2013,164,67,,28,52,60,24
12-DEC-2013,165,70,,34,64,49,17
13-DEC-2013,175,57,,31,70,56,18
14-DEC-2013,173,56,,26,56,69,22
15-DEC-2013,178,53,3.0,17,53,74,31
16-DEC-2013,170,72,,33,51,51,34
17-DEC-2013,186,79,3.0,28,56,74,25
18-DEC-2013,168,77,3.0,30,51,68,16
19-DEC-2013,150,63,,18,60,63,8
20-DEC-2013,176,64,,34,60,66,15
21-DEC-2013,180,65,,25,69,76,9
22-DEC-2013,159,58,,20,54,73,12
23-DEC-2013,162,56,,19,64,64,14
24-DEC-2013,151,53,,23,55,53,19
25-DEC-2013,152,49,,19,61,61,11
26-DEC-2013,189,65,,20,72,82,13
27-DEC-2013,177,68,,31,71,58,15
