Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
15-SEP-2013,262,75,,29,84,145,N/A                                                                                                                                                                                                                                                                                              
16-SEP-2013,261,71,,38,90,127,6                                                                                                                                                                                                                                                                                                      
17-SEP-2013,258,78,,30,93,129,6                                                                                                                                                                                                                                                                                                      
18-SEP-2013,247,75,,37,81,123,6                                                                                                                                                                                                                                                                                                    
19-SEP-2013,236,67,,25,72,134,3                                                                                                                                                                                                                                                                                               
20-SEP-2013,248,79,,26,84,129,9                                                                                                                                                                                                                                                                                               
21-SEP-2013,249,61,,32,79,131,5                                                                                                                                                                                                                                                                                          
22-SEP-2013,239,63,,26,86,115,10                                                                                                                                                                                                                                                                                         
23-SEP-2013,262,88,,43,82,129,7                                                                                                                                                                                                                                                                                               
24-SEP-2013,255,70,,43,75,134,3                                                                                                                                                                                                                                                                                             
25-SEP-2013,239,77,,28,85,120,5                                                                                                                                                                                                                                                                                               
26-SEP-2013,251,78,3.0,29,90,122,7                                                                                                                                                                                                                                                                                                
27-SEP-2013,224,68,,29,72,119,N/A                                                                                                                                                                                                                                                                                                    
28-SEP-2013,232,51,,28,71,127,6                                                                                                                                                                                                                                                                                                
29-SEP-2013,283,73,,29,116,126,11                                                                                                                                                                                                                                                                                              
30-SEP-2013,262,72,,28,105,124,4                                                                                                                                                                                                                                                                                                
01-OCT-2013,228,82,,31,87,106,N/A                                                                                                                                                                                                                                                                                              
02-OCT-2013,229,72,,27,94,101,6                                                                                                                                                                                                                                                                                                  
03-OCT-2013,236,79,,28,85,119,N/A                                                                                                                                                                                                                                                                                          
04-OCT-2013,256,70,,35,105,111,5                                                                                                                                                                                                                                                                                        
05-OCT-2013,285,70,,40,118,123,N/A                                                                                                                                                                                                                                                                                             
06-OCT-2013,266,72,,34,107,120,5                                                                                                                                                                                                                                                                                                    
07-OCT-2013,284,77,,36,111,130,5                                                                                                                                                                                                                                                                                           
08-OCT-2013,249,88,,43,97,106,3                                                                                                                                                                                                                                                                                              
09-OCT-2013,239,88,,32,99,103,4                                                                                                                                                                                                                                                                                             
10-OCT-2013,222,70,,32,79,101,10                                                                                                                                                                                                                                                                                                 
11-OCT-2013,224,69,,30,73,113,8                                                                                                                                                                                                                                                                                                  
12-OCT-2013,224,65,,23,92,105,4                                                                                                                                                                                                                                                                                                    
13-OCT-2013,247,69,,31,98,111,6                                                                                                                                                                                                                                                                                                      
14-OCT-2013,261,75,,33,103,119,5                                                                                                                                                                                                                                                                                       
15-OCT-2013,249,92,,29,84,128,8                                                                                                                                                                                                                                                                                              
16-OCT-2013,254,70,,27,106,105,14                                                                                                                                                                                                                                                                                              
17-OCT-2013,230,75,,25,103,95,5                                                                                                                                                                                                                                                                                              
18-OCT-2013,251,75,3.0,33,89,117,9                                                                                                                                                                                                                                                                                                       
19-OCT-2013,237,52,,28,73,132,3                                                                                                                                                                                                                                                                                              
20-OCT-2013,274,70,,28,96,134,15                                                                                                                                                                                                                                                                                                 
21-OCT-2013,251,77,,26,104,114,5                                                                                                                                                                                                                                                                                             
22-OCT-2013,249,75,,32,91,115,10                                                                                                                                                                                                                                                                                                 
23-OCT-2013,241,72,,38,88,101,13                                                                                                                                                                                                                                                                                                   
24-OCT-2013,247,68,,25,87,130,4                                                                                                                                                                                                                                                                                                
25-OCT-2013,248,74,,27,81,137,N/A                                                                                                                                                                                                                                                                                          
26-OCT-2013,266,70,,27,77,159,N/A                                                                                                                                                                                                                                                                                           
27-OCT-2013,304,80,,44,124,130,6                                                                                                                                                                                                                                                                                                 
28-OCT-2013,285,61,,42,113,121,7                                                                                                                                                                                                                                                                                                
29-OCT-2013,264,75,,33,86,137,7                                                                                                                                                                                                                                                                                                    
30-OCT-2013,254,81,,36,92,121,4                                                                                                                                                                                                                                                                                              
31-OCT-2013,232,73,,31,102,97,N/A                                                                                                                                                                                                                                                                                               
01-NOV-2013,263,82,,40,104,116,N/A                                                                                                                                                                                                                                                                                              
02-NOV-2013,237,63,,27,80,128,N/A                                                                                                                                                                                                                                                                                            
03-NOV-2013,290,68,,33,85,160,12                                                                                                                                                                                                                                                                                       
04-NOV-2013,284,82,,47,90,137,9                                                                                                                                                                                                                                                                                               
05-NOV-2013,238,61,,25,74,137,N/A                                                                                                                                                                                                                                                                                           
06-NOV-2013,255,84,,40,101,108,6                                                                                                                                                                                                                                                                                              
07-NOV-2013,253,69,,26,85,133,9                                                                                                                                                                                                                                                                                                 
08-NOV-2013,253,61,,38,90,118,6                                                                                                                                                                                                                                                                                                
09-NOV-2013,230,57,,23,112,92,3                                                                                                                                                                                                                                                                                                   
10-NOV-2013,283,68,,34,90,154,4                                                                                                                                                                                                                                                                                                
11-NOV-2013,278,82,,28,97,151,N/A                                                                                                                                                                                                                                                                                             
12-NOV-2013,239,65,,34,85,110,9                                                                                                                                                                                                                                                                                               
13-NOV-2013,232,70,,35,70,120,7                                                                                                                                                                                                                                                                                               
14-NOV-2013,261,79,,29,75,151,5                                                                                                                                                                                                                                                                                              
15-NOV-2013,241,65,,18,81,136,5                                                                                                                                                                                                                                                                                               
16-NOV-2013,262,70,,23,97,135,6                                                                                                                                                                                                                                                                                                 
17-NOV-2013,305,72,,39,90,165,11                                                                                                                                                                                                                                                                                             
18-NOV-2013,277,77,,44,102,118,13                                                                                                                                                                                                                                                                                         
19-NOV-2013,260,81,,29,101,121,7                                                                                                                                                                                                                                                                                               
20-NOV-2013,270,67,,33,105,122,8                                                                                                                                                                                                                                                                                                 
21-NOV-2013,259,80,,28,97,130,3                                                                                                                                                                                                                                                                                                  
22-NOV-2013,244,72,,23,82,134,3                                                                                                                                                                                                                                                                                                     
23-NOV-2013,255,76,,27,115,102,9                                                                                                                                                                                                                                                                                              
24-NOV-2013,277,84,,26,86,162,3                                                                                                                                                                                                                                                                                                     
25-NOV-2013,259,73,4.0,34,91,126,4                                                                                                                                                                                                                                                                                               
26-NOV-2013,233,72,,29,95,107,N/A                                                                                                                                                                                                                                                                                              
27-NOV-2013,254,90,,40,89,119,5                                                                                                                                                                                                                                                                                                
28-NOV-2013,243,87,,35,102,103,3                                                                                                                                                                                                                                                                                         
29-NOV-2013,207,67,,40,59,102,5                                                                                                                                                                                                                                                                                               
30-NOV-2013,278,63,,30,114,128,4                                                                                                                                                                                                                                                                                                 
01-DEC-2013,284,59,,26,85,164,8                                                                                                                                                                                                                                                                                                 
02-DEC-2013,265,68,,31,103,128,N/A                                                                                                                                                                                                                                                                                         
03-DEC-2013,256,78,,33,90,123,9                                                                                                                                                                                                                                                                                               
04-DEC-2013,252,65,,26,74,147,5                                                                                                                                                                                                                                                                                           
05-DEC-2013,232,61,,28,109,91,N/A                                                                                                                                                                                                                                                                                         
06-DEC-2013,248,68,,23,71,149,4                                                                                                                                                                                                                                                                                              
07-DEC-2013,271,67,,28,111,127,4                                                                                                                                                                                                                                                                                         
08-DEC-2013,268,63,3.0,27,118,117,3                                                                                                                                                                                                                                                                                            
09-DEC-2013,280,85,,40,89,148,N/A                                                                                                                                                                                                                                                                                           
10-DEC-2013,246,77,,20,91,128,6                                                                                                                                                                                                                                                                                             
11-DEC-2013,253,68,,29,98,119,6                                                                                                                                                                                                                                                                                                   
12-DEC-2013,251,80,,34,98,114,3                                                                                                                                                                                                                                                                                                
13-DEC-2013,253,64,,23,96,129,5                                                                                                                                                                                                                                                                                             
14-DEC-2013,266,75,,25,111,122,6                                                                                                                                                                                                                                                                                             
15-DEC-2013,281,61,,29,89,144,18                                                                                                                                                                                                                                                                                           
16-DEC-2013,277,77,,35,89,143,10                                                                                                                                                                                                                                                                                           
17-DEC-2013,267,67,,40,87,132,7                                                                                                                                                                                                                                                                                                
18-DEC-2013,229,68,,29,96,100,3                                                                                                                                                                                                                                                                                                  
19-DEC-2013,245,74,,23,86,129,5                                                                                                                                                                                                                                                                                              
20-DEC-2013,236,72,,30,105,94,7                                                                                                                                                                                                                                                                                                
21-DEC-2013,284,73,,35,116,131,N/A                                                                                                                                                                                                                                                                                             
