Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
09-NOV-2013,131,29,,17,51,59,3.0
10-NOV-2013,132,30,,29,37,60,6.0
11-NOV-2013,152,40,,20,66,64,
12-NOV-2013,136,32,,27,59,42,7.0
13-NOV-2013,127,14,,24,43,51,9.0
14-NOV-2013,134,27,,24,50,55,5.0
15-NOV-2013,116,28,,13,51,50,
16-NOV-2013,134,22,,12,65,52,4.0
17-NOV-2013,147,18,,23,59,46,18.0
18-NOV-2013,155,27,,24,55,69,6.0
19-NOV-2013,117,14,,21,52,34,8.0
20-NOV-2013,109,17,,17,35,52,4.0
21-NOV-2013,130,31,,27,49,38,16.0
22-NOV-2013,120,27,,13,59,41,6.0
23-NOV-2013,155,20,,17,78,58,
24-NOV-2013,128,15,,29,50,44,4.0
25-NOV-2013,144,27,,22,46,68,8.0
26-NOV-2013,109,19,,22,44,38,3.0
27-NOV-2013,127,19,,23,56,43,5.0
28-NOV-2013,122,28,,16,54,39,12.0
29-NOV-2013,123,34,,25,46,46,5.0
30-NOV-2013,121,23,,21,51,41,7.0
01-DEC-2013,136,31,,27,55,50,3.0
02-DEC-2013,131,24,,12,51,60,7.0
03-DEC-2013,114,17,,15,48,45,6.0
04-DEC-2013,134,28,,24,58,48,3.0
05-DEC-2013,119,25,,14,58,46,
06-DEC-2013,133,21,,21,61,39,11.0
07-DEC-2013,142,34,,17,61,56,7.0
08-DEC-2013,161,27,,17,75,63,6.0
09-DEC-2013,129,32,,22,63,44,
10-DEC-2013,132,18,,27,55,39,11.0
11-DEC-2013,115,18,,23,52,34,6.0
12-DEC-2013,135,34,,20,45,61,7.0
13-DEC-2013,123,22,,15,37,60,9.0
14-DEC-2013,118,26,4.0,16,53,34,11.0
15-DEC-2013,139,32,,24,54,55,6.0
16-DEC-2013,140,19,,20,69,46,4.0
17-DEC-2013,131,27,,25,46,53,6.0
18-DEC-2013,128,32,,22,50,52,3.0
19-DEC-2013,132,35,,25,43,49,14.0
20-DEC-2013,128,23,,21,45,58,3.0
21-DEC-2013,124,32,,12,62,41,8.0
22-DEC-2013,147,44,,30,49,60,8.0
23-DEC-2013,161,31,,23,80,48,10.0
24-DEC-2013,131,15,,22,49,51,8.0
25-DEC-2013,141,23,,23,45,68,4.0
26-DEC-2013,148,22,,26,45,69,7.0
27-DEC-2013,149,36,,18,61,58,12.0
28-DEC-2013,154,36,,29,66,47,12.0
29-DEC-2013,139,32,,25,43,65,6.0
30-DEC-2013,140,17,,19,59,44,16.0
31-DEC-2013,113,18,3.0,12,29,57,12.0
01-JAN-2014,128,25,4.0,27,45,44,8.0
02-JAN-2014,153,31,,25,53,62,13.0
03-JAN-2014,125,20,,11,40,53,20.0
04-JAN-2014,132,34,,12,56,57,5.0
05-JAN-2014,112,28,3.0,18,33,48,10.0
06-JAN-2014,124,39,,19,44,50,9.0
07-JAN-2014,140,24,,31,51,54,4.0
08-JAN-2014,118,19,,21,46,44,6.0
09-JAN-2014,113,17,,23,44,43,3.0
10-JAN-2014,129,26,,29,43,48,8.0
11-JAN-2014,133,32,3.0,15,56,57,
12-JAN-2014,147,24,,20,53,54,19.0
13-JAN-2014,125,24,,26,45,52,
14-JAN-2014,129,32,,32,39,49,8.0
15-JAN-2014,101,9,,26,44,26,3.0
16-JAN-2014,115,23,,23,40,41,9.0
17-JAN-2014,130,23,,25,47,35,22.0
18-JAN-2014,121,18,,15,54,50,
19-JAN-2014,136,18,,24,49,51,10.0
20-JAN-2014,122,23,,18,50,44,9.0
21-JAN-2014,129,21,,14,53,60,
22-JAN-2014,125,23,,26,58,36,4.0
23-JAN-2014,109,16,,19,40,45,5.0
24-JAN-2014,128,29,,24,46,53,5.0
25-JAN-2014,138,22,,19,54,55,10.0
26-JAN-2014,153,25,,21,62,61,9.0
27-JAN-2014,148,28,,25,64,52,7.0
28-JAN-2014,141,33,,22,65,43,10.0
29-JAN-2014,120,5,,9,54,48,7.0
30-JAN-2014,148,37,,33,55,53,6.0
31-JAN-2014,109,22,,21,50,35,
01-FEB-2014,125,18,,15,47,55,7.0
02-FEB-2014,143,18,,20,37,70,16.0
03-FEB-2014,132,22,,18,40,65,8.0
04-FEB-2014,140,11,,23,50,54,11.0
05-FEB-2014,111,23,,18,41,45,7.0
06-FEB-2014,136,26,,20,53,51,10.0
07-FEB-2014,132,23,,19,52,52,7.0
08-FEB-2014,125,25,,19,51,48,6.0
09-FEB-2014,134,17,,25,54,49,4.0
10-FEB-2014,140,17,,19,52,54,14.0
11-FEB-2014,142,17,,23,56,59,3.0
12-FEB-2014,125,24,,14,59,42,9.0
13-FEB-2014,119,18,,15,46,42,16.0
14-FEB-2014,101,19,4.0,14,41,34,8.0
15-FEB-2014,115,23,,20,39,53,
16-FEB-2014,140,23,4.0,36,36,56,8.0
17-FEB-2014,135,21,,33,48,50,3.0
18-FEB-2014,140,20,,25,60,45,9.0
19-FEB-2014,107,24,,12,49,41,5.0
20-FEB-2014,148,32,3.0,27,54,55,9.0
21-FEB-2014,124,22,,17,47,54,5.0
22-FEB-2014,139,29,,18,57,60,3.0
23-FEB-2014,123,27,3.0,24,38,51,7.0
24-FEB-2014,140,36,,26,54,57,
25-FEB-2014,103,17,,8,38,50,5.0
26-FEB-2014,103,12,,17,44,34,6.0
27-FEB-2014,111,31,,22,40,45,4.0
28-FEB-2014,133,26,,24,38,65,5.0
01-MAR-2014,117,32,,25,44,40,7.0
02-MAR-2014,155,23,,24,64,58,8.0
03-MAR-2014,140,28,,23,50,53,13.0
04-MAR-2014,134,22,,26,57,43,7.0
05-MAR-2014,133,25,,25,49,53,6.0
06-MAR-2014,130,40,,18,55,53,4.0
07-MAR-2014,134,32,,20,44,67,
08-MAR-2014,113,31,3.0,17,32,58,3.0
09-MAR-2014,140,28,,24,51,65,
10-MAR-2014,129,22,,21,46,56,6.0
11-MAR-2014,124,30,,24,42,53,5.0
12-MAR-2014,122,27,,15,43,50,12.0
13-MAR-2014,132,32,,22,39,59,12.0
14-MAR-2014,114,32,,18,40,49,7.0
15-MAR-2014,126,24,,14,52,53,6.0
16-MAR-2014,148,26,,23,58,53,14.0
17-MAR-2014,146,25,,25,54,51,15.0
18-MAR-2014,132,24,,17,50,54,9.0
19-MAR-2014,134,22,,18,51,58,6.0
20-MAR-2014,120,26,,16,53,46,5.0
21-MAR-2014,103,24,,17,30,38,16.0
22-MAR-2014,138,26,,17,56,57,7.0
23-MAR-2014,135,24,,16,52,57,9.0
