Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
31-OCT-2013,56,4.0,,,5.0,23,28.0
01-NOV-2013,46,5.0,,,5.0,13,28.0
02-NOV-2013,29,6.0,,,8.0,11,9.0
03-NOV-2013,23,,,,,15,7.0
04-NOV-2013,55,7.0,,,,22,31.0
05-NOV-2013,42,,,,,18,22.0
06-NOV-2013,51,4.0,,,4.0,29,18.0
07-NOV-2013,46,,,,7.0,22,17.0
08-NOV-2013,52,3.0,,,8.0,23,20.0
09-NOV-2013,37,5.0,,,5.0,24,8.0
10-NOV-2013,26,,,,6.0,14,5.0
11-NOV-2013,49,4.0,,,6.0,22,21.0
12-NOV-2013,40,5.0,,,,25,13.0
13-NOV-2013,43,4.0,,,,24,17.0
14-NOV-2013,43,4.0,,,,24,17.0
15-NOV-2013,52,5.0,,,3.0,21,28.0
16-NOV-2013,19,7.0,,,5.0,7,7.0
17-NOV-2013,29,4.0,,,4.0,17,8.0
18-NOV-2013,44,3.0,,,5.0,13,26.0
19-NOV-2013,38,4.0,,,,24,14.0
20-NOV-2013,43,3.0,,,4.0,21,18.0
21-NOV-2013,31,4.0,,,3.0,19,9.0
22-NOV-2013,54,6.0,,,3.0,29,21.0
23-NOV-2013,33,4.0,,,,24,7.0
24-NOV-2013,28,6.0,,,6.0,19,3.0
25-NOV-2013,45,6.0,,,11.0,23,11.0
26-NOV-2013,43,5.0,,,3.0,30,9.0
27-NOV-2013,35,3.0,,,5.0,16,14.0
28-NOV-2013,42,6.0,,,,24,16.0
29-NOV-2013,46,,,,3.0,32,10.0
30-NOV-2013,29,5.0,,,5.0,17,6.0
01-DEC-2013,26,5.0,,,,19,5.0
02-DEC-2013,36,,,,,23,12.0
03-DEC-2013,42,3.0,,,5.0,20,17.0
04-DEC-2013,38,,,,3.0,25,10.0
05-DEC-2013,40,5.0,,,3.0,22,15.0
06-DEC-2013,45,8.0,,,6.0,21,17.0
07-DEC-2013,30,,,,4.0,19,6.0
08-DEC-2013,25,,,,,18,5.0
09-DEC-2013,38,6.0,,,4.0,33,
10-DEC-2013,45,5.0,,,6.0,27,12.0
11-DEC-2013,42,5.0,,,4.0,22,16.0
12-DEC-2013,49,8.0,,,3.0,33,12.0
13-DEC-2013,45,5.0,,,8.0,23,14.0
14-DEC-2013,43,,,,9.0,24,10.0
15-DEC-2013,27,,,,,15,10.0
16-DEC-2013,42,4.0,,,7.0,19,16.0
17-DEC-2013,37,4.0,,,5.0,17,14.0
18-DEC-2013,38,4.0,,,3.0,15,19.0
19-DEC-2013,45,3.0,,,,22,22.0
20-DEC-2013,47,5.0,,,10.0,25,12.0
21-DEC-2013,35,5.0,,,9.0,18,8.0
22-DEC-2013,20,,,,,11,8.0
23-DEC-2013,45,,,,6.0,22,17.0
24-DEC-2013,46,3.0,,,5.0,20,21.0
25-DEC-2013,24,,,,3.0,16,5.0
